,time_overhead
0,319
1,322
2,327
3,311
4,335
5,320
6,333
7,299
8,301
9,301
10,309
11,305
12,337
13,298
14,307
15,317
16,356
17,373
18,356
19,340
20,332
21,327
22,327
23,339
24,329
25,340
26,326
27,339
28,325
29,390
30,313
31,327
32,310
33,321
34,317
35,379
36,311
37,309
38,328
39,312
40,309
41,343
42,328
43,324
44,331
45,304
46,301
47,300
48,293
49,292
50,292
51,296
52,296
53,293
54,309
55,315
56,323
57,318
58,317
59,323
60,309
61,353
62,297
63,305
64,318
65,347
66,319
67,340
68,319
69,325
70,323
71,335
72,325
73,337
74,318
75,350
76,330
77,314
78,316
79,333
80,326
81,318
82,319
83,316
84,304
85,323
86,336
87,294
88,322
89,291
90,291
91,292
92,315
93,297
94,291
95,302
96,293
97,296
98,295
99,320
100,304
101,295
102,290
103,319
104,296
105,296
106,330
107,304
108,321
109,302
110,301
111,303
112,342
113,301
114,311
115,315
116,310
117,321
118,337
119,336
120,312
121,406
122,327
123,332
124,347
125,334
126,363
127,363
128,362
129,362
130,384
131,353
132,319
133,322
134,321
135,317
136,332
137,318
138,341
139,329
140,326
141,324
142,403
143,334
144,319
145,325
146,302
147,298
148,287
149,288
150,298
151,296
152,320
153,296
154,292
155,314
156,291
157,303
158,322
159,306
160,304
161,317
162,326
163,304
164,304
165,297
166,302
167,305
168,294
169,296
170,331
171,303
172,296
173,303
174,314
175,322
176,309
177,302
178,304
179,312
180,303
181,309
182,306
183,307
184,306
185,302
186,301
187,296
188,312
189,301
190,301
191,451
192,300
193,293
194,319
195,292
196,308
197,333
198,296
199,303
200,300
201,318
202,323
203,353
204,301
205,294
206,326
207,323
208,297
209,306
210,302
211,309
212,434
213,299
214,313
215,302
216,310
217,309
218,300
219,302
220,326
221,313
222,309
223,316
224,321
225,342
226,340
227,304
228,323
229,366
230,320
231,298
232,299
233,299
234,296
235,299
236,296
237,298
238,321
239,321
240,302
241,313
242,313
243,315
244,314
245,313
246,334
247,303
248,315
249,305
250,317
251,314
252,385
253,338
254,329
255,322
256,302
257,296
258,298
259,309
260,288
261,310
262,323
263,315
264,322
265,333
266,306
267,297
268,301
269,302
270,295
271,298
272,304
273,302
274,304
275,294
276,295
277,304
278,326
279,304
280,301
281,303
282,297
283,303
284,345
285,317
286,298
287,298
288,296
289,298
290,299
291,303
292,307
293,303
294,304
295,306
296,318
297,324
298,338
299,311
300,319
301,313
302,334
303,310
304,343
305,323
306,345
307,322
308,327
309,354
310,379
311,357
312,359
313,347
314,351
315,362
316,374
317,359
318,345
319,350
320,357
321,371
322,347
323,356
324,330
325,346
326,343
327,357
328,320
329,313
330,287
331,341
332,284
333,315
334,334
335,316
336,317
337,317
338,327
339,332
340,352
341,326
342,333
343,332
344,330
345,373
346,499
347,348
348,325
349,330
350,329
351,320
352,341
353,318
354,314
355,320
356,323
357,320
358,336
359,315
360,318
361,334
362,314
363,308
364,309
365,312
366,308
367,309
368,305
369,300
370,355
371,350
372,305
373,307
374,303
375,306
376,299
377,303
378,308
379,305
380,299
381,317
382,323
383,323
384,334
385,318
386,327
387,330
388,319
389,317
390,333
391,317
392,377
393,326
394,317
395,317
396,344
397,327
398,331
399,327
400,328
401,322
402,406
403,326
404,327
405,330
406,334
407,330
408,347
409,322
410,336
411,332
412,336
413,322
414,349
415,377
416,337
417,324
418,316
419,307
420,320
421,315
422,319
423,317
424,315
425,309
426,308
427,331
428,314
429,318
430,317
431,320
432,320
433,333
434,310
435,322
436,342
437,311
438,313
439,314
440,319
441,315
442,312
443,320
444,357
445,321
446,373
447,322
448,324
449,332
450,332
451,336
452,359
453,360
454,337
455,336
456,339
457,337
458,337
459,311
460,310
461,321
462,313
463,308
464,347
465,312
466,311
467,325
468,312
469,310
470,325
471,300
472,311
473,315
474,305
475,314
476,305
477,316
478,320
479,303
480,321
481,295
482,307
483,324
484,308
485,301
486,317
487,295
488,318
489,318
490,342
491,320
492,320
493,375
494,318
495,287
496,309
497,289
498,309
499,300
500,314
501,309
502,308
503,341
504,307
505,319
506,305
507,298
508,319
509,327
510,323
511,304
512,303
513,317
514,302
515,303
516,450
517,317
518,303
519,316
520,304
521,302
522,340
523,303
524,437
525,960
526,3484
527,1051
528,996
529,329
530,316
531,333
532,395
533,376
534,331
535,330
536,317
537,323
538,304
539,305
540,303
541,294
542,301
543,303
544,305
545,293
546,294
547,302
548,299
549,296
550,326
551,321
552,326
553,327
554,325
555,331
556,329
557,334
558,325
559,325
560,329
561,324
562,351
563,334
564,324
565,324
566,325
567,328
568,353
569,371
570,323
571,316
572,313
573,314
574,314
575,329
576,308
577,307
578,305
579,307
580,312
581,348
582,310
583,309
584,316
585,365
586,321
587,313
588,333
589,467
590,320
591,318
592,351
593,341
594,326
595,317
596,316
597,315
598,325
599,331
600,319
601,301
602,305
603,314
604,305
605,335
606,328
607,353
608,338
609,337
610,337
611,346
612,481
613,336
614,330
615,358
616,354
617,369
618,360
619,375
620,376
621,394
622,355
623,369
624,351
625,352
626,345
627,349
628,316
629,361
630,323
631,326
632,323
633,324
634,324
635,322
636,301
637,298
638,299
639,298
640,309
641,301
642,300
643,300
644,300
645,314
646,298
647,296
648,320
649,299
650,302
651,294
652,319
653,303
654,304
655,406
656,311
657,304
658,295
659,308
660,318
661,323
662,303
663,301
664,305
665,302
666,323
667,310
668,326
669,306
670,302
671,302
672,312
673,297
674,321
675,338
676,332
677,332
678,337
679,324
680,347
681,342
682,383
683,369
684,317
685,318
686,332
687,312
688,343
689,339
690,372
691,320
692,337
693,303
694,305
695,302
696,320
697,304
698,306
699,325
700,349
701,319
702,331
703,322
704,318
705,338
706,320
707,321
708,304
709,300
710,299
711,353
712,332
713,327
714,329
715,304
716,302
717,302
